"","X","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95"
"1",1367,"bc5f86","3Wab9K","outcome","miR-205-5p","MR Egger",14,-0.686281348867712,0.230613680867699,0.0115737748934479,-1.1382841633684,-0.234278534367021,0.503444727774754,0.320368250067646,0.791141425127735
"2",1368,"bc5f86","3Wab9K","outcome","miR-205-5p","Weighted median",14,-0.37545213864625,0.165328479977683,0.0231502147539314,-0.699495959402508,-0.0514083178899916,0.686978598987343,0.496835666035705,0.949890733956883
"3",1369,"bc5f86","3Wab9K","outcome","miR-205-5p","Inverse variance weighted",14,-0.459821939892922,0.117657118321393,9.3004666418854e-05,-0.690429891802851,-0.229213987982993,0.631396061948586,0.501360491966192,0.795158360964481
"4",1370,"bc5f86","3Wab9K","outcome","miR-205-5p","Simple mode",14,-0.299138507637875,0.261889772730549,0.273960252393938,-0.812442462189751,0.214165446914001,0.741456704905711,0.443772843064155,1.23882759804245
"5",1371,"bc5f86","3Wab9K","outcome","miR-205-5p","Weighted mode",14,-0.338814689746891,0.236548195511025,0.175654771948843,-0.802449152948501,0.124819773454719,0.712614491626208,0.448229835276641,1.13294424803798
"6",6443,"xfOtXR","3Wab9K","outcome","miR-6800-5p","MR Egger",27,-0.529117625707124,0.256406959565831,0.0495847794494002,-1.03167526645615,-0.0265599849580954,0.58912456877899,0.356409379477032,0.973789629353447
"7",6444,"xfOtXR","3Wab9K","outcome","miR-6800-5p","Weighted median",27,-0.317859182058623,0.129295462676265,0.0139559991753587,-0.571278288904102,-0.0644400752131442,0.727705255155808,0.564802995650101,0.937592297597237
"8",6445,"xfOtXR","3Wab9K","outcome","miR-6800-5p","Inverse variance weighted",27,-0.388636603604677,0.0950258213081629,4.31745319793565e-05,-0.574887213368676,-0.202385993840677,0.677980600959859,0.562768337972708,0.816779595194967
"9",6446,"xfOtXR","3Wab9K","outcome","miR-6800-5p","Simple mode",27,-0.213755518391315,0.252769076952715,0.405460691448521,-0.709182909218636,0.281671872436006,0.807545790984701,0.492046079567144,1.32534376680897
"10",6447,"xfOtXR","3Wab9K","outcome","miR-6800-5p","Weighted mode",27,-0.272747553206916,0.199424952329738,0.183122006961956,-0.663620459773202,0.11812535335937,0.761284947316438,0.514983478315798,1.12538517333792
